holiday,date,year,bank,onbserved_on
New Year's Day,1/1/2020,2020,TRUE,1/1/2020
Martin Luther King Jr. Day,1/20/2020,2020,TRUE,1/20/2020
Presidents Day,2/17/2020,2020,TRUE,2/17/2020
Memorial Day,5/25/2020,2020,TRUE,5/25/2020
Independence Day,7/4/2020,2020,TRUE,7/3/2020
Labor Day,9/7/2020,2020,TRUE,9/7/2020
Columbus Day,10/12/2020,2020,TRUE,10/12/2020
Veterans Day,11/11/2020,2020,TRUE,11/11/2020
Thanksgiving Day,11/23/2020,2023,TRUE,11/23/2020
Thanksgiving Day,11/24/2020,2022,TRUE,11/24/2020
Thanksgiving Day,11/25/2020,2021,TRUE,11/25/2020
Thanksgiving Day,11/26/2020,2020,TRUE,11/26/2020
Thanksgiving Day,11/28/2020,2024,TRUE,11/28/2020
Christmas Day,12/25/2020,2020,TRUE,12/25/2020
New Year's Day,1/1/2021,2021,TRUE,1/1/2021
Martin Luther King Jr. Day,1/18/2021,2021,TRUE,1/18/2021
Presidents Day,2/15/2021,2021,TRUE,2/15/2021
Memorial Day,5/31/2021,2021,TRUE,5/31/2021
Independence Day,7/4/2021,2021,TRUE,7/5/2021
Labor Day,9/6/2021,2021,TRUE,9/6/2021
Columbus Day,10/11/2021,2021,TRUE,10/11/2021
Veterans Day,11/11/2021,2021,TRUE,11/11/2021
Christmas Day,12/25/2021,2021,TRUE,12/24/2021
New Year's Day,1/1/2022,2022,TRUE,12/31/2021
Martin Luther King Jr. Day,1/17/2022,2022,TRUE,1/17/2022
Presidents Day,2/21/2022,2022,TRUE,2/21/2022
Memorial Day,5/30/2022,2022,TRUE,5/30/2022
Independence Day,7/4/2022,2022,TRUE,7/4/2022
Labor Day,9/5/2022,2022,TRUE,9/5/2022
Columbus Day,10/10/2022,2022,TRUE,10/10/2022
Veterans Day,11/11/2022,2022,TRUE,11/11/2022
Christmas Day,12/25/2022,2022,TRUE,12/26/2022
New Year's Day,1/1/2023,2023,TRUE,1/2/2023
Martin Luther King Jr. Day,1/16/2023,2023,TRUE,1/16/2023
Presidents Day,2/20/2023,2023,TRUE,2/20/2023
Memorial Day,5/29/2023,2023,TRUE,5/29/2023
Independence Day,7/4/2023,2023,TRUE,7/4/2023
Labor Day,9/4/2023,2023,TRUE,9/4/2023
Columbus Day,10/9/2023,2023,TRUE,10/9/2023
Veterans Day,11/11/2023,2023,TRUE,11/11/2023
Christmas Day,12/25/2023,2023,TRUE,12/25/2023
New Year's Day,1/1/2024,2024,TRUE,1/1/2024
Martin Luther King Jr. Day,1/15/2024,2024,TRUE,1/15/2024
Presidents Day,2/19/2024,2024,TRUE,2/19/2024
Memorial Day,5/27/2024,2024,TRUE,5/27/2024
Independence Day,7/4/2024,2024,TRUE,7/4/2024
Labor Day,9/2/2024,2024,TRUE,9/2/2024
Columbus Day,10/14/2024,2024,TRUE,10/14/2024
Veterans Day,11/11/2024,2024,TRUE,11/11/2024
Christmas Day,12/25/2024,2024,TRUE,12/25/2024
